company_name,description,sectors,regions,backed,index_team,founders,ticker_symbol,company_profile_url,company_url,image_url,featured_content_urls,source_url,scraped_at
CipherCloud,"CipherCloud is the leader in cloud information protection, enabling organisations to securely adopt cloud applications by overcoming data privacy, residency, security and regulatory compliance risks.",Data,North America,,,Pravin Kothari,,https://www.indexventures.com/companies/ciphercloud/,http://ciphercloud.com,https://www.indexventures.com/static/images/index_ventures_og_image.a32dae190f17.jpg,,https://www.indexventures.com/companies/backed/all/,2026-06-08T12:41:52Z
Citymapper,Citymapper is reinventing the transport app by helping users navigate the world's most complex transport cities – London and New York. The mobile app is available on iOS and Android.,Mobility,Europe,backed at Seed (all),Dominique Vidal,Azmat Yusuf,,https://www.indexventures.com/companies/citymapper/,http://citymapper.com,https://www.indexventures.com/static/images/index_ventures_og_image.a32dae190f17.jpg,,https://www.indexventures.com/companies/backed/all/,2026-06-08T12:41:52Z
Class Companion,"Class Companion empowers teachers to give instant feedback and support each student to learn at their own pace. Thousands of teachers use the AI platform to create assignments, engage students, generate feedback, and gain insights into progress.",AI/ML,,,Nina Achadjian,Avery Pan; Jack Forbes,,https://www.indexventures.com/companies/class-companion/,https://classcompanion.com/,https://www.indexventures.com/static/images/index_ventures_og_image.a32dae190f17.jpg,,https://www.indexventures.com/companies/backed/all/,2026-06-08T12:41:52Z
ClickHouse,ClickHouse® is a fast open-source OLAP database management system,Open Source,,backed by Index,Mike Volpi,Aaron Katz; Alexey Milovidov; Yury Izrailevsky,,https://www.indexventures.com/companies/clickhouse/,https://clickhouse.tech/,https://www.indexventures.com/media/images/clickhouse.2e16d0ba.fill-1200x630.format-png.png,https://www.indexventures.com/perspectives/aaron-katzs-journey-from-salesforce-to-clickhouse/; https://www.indexventures.com/perspectives/relationship/clickhouse/,https://www.indexventures.com/companies/backed/all/,2026-06-08T12:41:52Z
Climate,The Climate Corporation enables smart farming by protecting the world’s $3tn farming industry from adverse weather with uniquely powerful software and customisable insurance products. Climate was acquired by Monsanto in October 2013.,Fintech,North America,backed at Seed (all),Neil Rimer,David Friedberg,NYSE:MON,https://www.indexventures.com/companies/climate/,http://climate.com,https://www.indexventures.com/static/images/index_ventures_og_image.a32dae190f17.jpg,,https://www.indexventures.com/companies/backed/all/,2026-06-08T12:41:52Z
Clumio,Authentic SaaS for Enterprise Backup,Data,North America,,Mike Volpi,Poojan Kumar; Kaustubh Patil; Woon Jung,,https://www.indexventures.com/companies/clumio/,http://clumio.com,https://www.indexventures.com/media/images/CLUMIO-FOUNDERS-1-800p.2e16d0ba.fill-1200x630.format-png.png,,https://www.indexventures.com/companies/backed/all/,2026-06-08T12:41:52Z
Coalition,Cybersecurity and insurance to keep your business safe.,Security,North America,,Shardul Shah,Joshua Motta; John Hering,,https://www.indexventures.com/companies/coalition/,http://www.coalitioninc.com,https://www.indexventures.com/static/images/index_ventures_og_image.a32dae190f17.jpg,https://www.indexventures.com/perspectives/behind-the-scenes-coalition/,https://www.indexventures.com/companies/backed/all/,2026-06-08T12:41:52Z
Cockroach Labs,"CockroachDB enables developers to build scalable applications that can survive data center outages without breaking a sweat. With strong consistency, distributed SQL, and transactions, CockroachDB frees developers to focus on what matters – building great applications.",Data; Open Source,North America,,Mike Volpi,Spencer Kimball; Ben Darnell; Peter Mattis,,https://www.indexventures.com/companies/cockroach-labs/,http://cockroachlabs.com,https://www.indexventures.com/media/images/CockroachLabs_CoFounde.2e16d0ba.fill-1200x630.format-png.png,https://www.indexventures.com/perspectives/happy-anniversary-cockroach-labs/; https://www.indexventures.com/perspectives/relationship/cockroach-labs/,https://www.indexventures.com/companies/backed/all/,2026-06-08T12:41:52Z
Cocoon,"Employee leave, as it should be",,North America,backed at Seed (all),,Mahima Chawla; Lauren Dai,,https://www.indexventures.com/companies/cocoon/,https://www.meetcocoon.com/,https://www.indexventures.com/media/images/ALM_2.2e16d0ba.fill-1200x630.format-png.png,https://www.indexventures.com/perspectives/employee-leave-made-easy-cocoon-powers-seamless-transitions-from-our-lives-inside-and-outside-the-office/,https://www.indexventures.com/companies/backed/all/,2026-06-08T12:41:52Z
Codat,"Codat is the platform for business data. Through our single API, we provide real-time connectivity to the financial software used by small businesses globally.",Fintech,Europe,,Stephane Kurgan; Jan Hammer; Julia Andre,Pete Lord; Alex Cardona; David Hoare,,https://www.indexventures.com/companies/codat/,http://www.codat.io,https://www.indexventures.com/static/images/index_ventures_og_image.a32dae190f17.jpg,https://www.indexventures.com/perspectives/codat-raises-40m-and-expands-its-api-infrastructure-for-sme-data/; https://www.indexventures.com/perspectives/relationship/codat/,https://www.indexventures.com/companies/backed/all/,2026-06-08T12:41:52Z
Codecademy,"Codecademy provides education without borders. More than 10m students and 20k governments, companies and universities in Asia, Europe, the U.S. and Latin America are trialling and adopting Codecademy to transform programming literacy.",,North America,,,Zach Sims; Ryan Bubinski,,https://www.indexventures.com/companies/codecademy/,http://codecademy.com,https://www.indexventures.com/static/images/index_ventures_og_image.a32dae190f17.jpg,,https://www.indexventures.com/companies/backed/all/,2026-06-08T12:41:52Z
"CodeSignal, Inc.","Certify, Test, and Interview All on One Platform",Business Applications,North America,,Nina Achadjian,Aram Shatakhtsyan; Sophia Baik; Tigran Sloyan,,https://www.indexventures.com/companies/codesignal-inc/,https://codesignal.com/,https://www.indexventures.com/static/images/index_ventures_og_image.a32dae190f17.jpg,https://www.indexventures.com/perspectives/beyond-the-resume-announcing-our-50m-series-c-in-codesignal/,https://www.indexventures.com/companies/backed/all/,2026-06-08T12:41:52Z
Cohere,Build incredible products with world-class language AI,AI/ML,North America,,Mike Volpi,Aidan Gomez; Ivan Zhang; Nick Frosst,,https://www.indexventures.com/companies/cohere-inc/,https://cohere.com/,https://www.indexventures.com/static/images/index_ventures_og_image.a32dae190f17.jpg,https://www.indexventures.com/perspectives/cohere-and-the-ai-hype-cycle/,https://www.indexventures.com/companies/backed/all/,2026-06-08T12:41:52Z
